ID,CATEGORY
0,skyscraper
1,hat
2,skyscraper
3,trombone
4,nose
5,nose
6,nose
7,nose
8,eyeglasses
9,bulldozer
10,trombone
11,hat
12,harp
13,hat
14,eyeglasses
15,trombone
16,hat
17,nose
18,eyeglasses
19,pig
20,trombone
21,hand
22,keyboard
23,pig
24,harp
25,bulldozer
26,hat
27,harp
28,bulldozer
29,keyboard
30,hat
31,harp
32,nose
33,penguin
34,pig
35,nose
36,laptop
37,bulldozer
38,penguin
39,nose
40,bulldozer
41,bulldozer
42,bulldozer
43,skyscraper
44,nose
45,keyboard
46,trombone
47,hat
48,keyboard
49,skyscraper
50,harp
51,violin
52,laptop
53,harp
54,bulldozer
55,skyscraper
56,hand
57,bulldozer
58,bulldozer
59,nose
60,bulldozer
61,violin
62,skyscraper
63,violin
64,eyeglasses
65,bulldozer
66,nose
67,laptop
68,hat
69,hand
70,bulldozer
71,skyscraper
72,bulldozer
73,laptop
74,trombone
75,hand
76,nose
77,penguin
78,nose
79,eyeglasses
80,hat
81,harp
82,trombone
83,bulldozer
84,trombone
85,bulldozer
86,laptop
87,trombone
88,nose
89,keyboard
90,eyeglasses
91,keyboard
92,hat
93,penguin
94,skyscraper
95,harp
96,trombone
97,nose
98,violin
99,hand
100,laptop
101,bulldozer
102,harp
103,penguin
104,bulldozer
105,skyscraper
106,bulldozer
107,hat
108,nose
109,laptop
110,bulldozer
111,bulldozer
112,trombone
113,laptop
114,hat
115,harp
116,skyscraper
117,laptop
118,nose
119,nose
120,trombone
121,harp
122,bulldozer
123,skyscraper
124,harp
125,bulldozer
126,bulldozer
127,harp
128,hat
129,trombone
130,skyscraper
131,nose
132,hand
133,harp
134,hat
135,penguin
136,laptop
137,hat
138,hat
139,bulldozer
140,nose
141,skyscraper
142,hand
143,hat
144,eyeglasses
145,laptop
146,eyeglasses
147,harp
148,violin
149,hat
150,hand
151,hand
152,nose
153,nose
154,skyscraper
155,hand
156,harp
157,eyeglasses
158,trombone
159,hat
160,bulldozer
161,pig
162,laptop
163,penguin
164,laptop
165,trombone
166,hat
167,hat
168,hat
169,pig
170,violin
171,skyscraper
172,laptop
173,pig
174,hand
175,pig
176,banana
177,trombone
178,trombone
179,trombone
180,pig
181,laptop
182,hand
183,nose
184,eyeglasses
185,hand
186,hat
187,banana
188,bulldozer
189,pig
190,keyboard
191,hand
192,eyeglasses
193,pig
194,nose
195,trombone
196,bulldozer
197,eyeglasses
198,bulldozer
199,nose
200,laptop
201,eyeglasses
202,hand
203,skyscraper
204,eyeglasses
205,bulldozer
206,keyboard
207,penguin
208,nose
209,penguin
210,bulldozer
211,laptop
212,laptop
213,pig
214,banana
215,nose
216,hat
217,hand
218,eyeglasses
219,skyscraper
220,skyscraper
221,violin
222,hand
223,penguin
224,eyeglasses
225,eyeglasses
226,skyscraper
227,trombone
228,skyscraper
229,bulldozer
230,penguin
231,bulldozer
232,pig
233,eyeglasses
234,bulldozer
235,hat
236,trombone
237,nose
238,trombone
239,hat
240,penguin
241,hat
242,bulldozer
243,keyboard
244,penguin
245,bulldozer
246,harp
247,trombone
248,hat
249,pig
250,harp
251,bulldozer
252,laptop
253,harp
254,keyboard
255,harp
256,hat
257,bulldozer
258,pig
259,violin
260,eyeglasses
261,nose
262,nose
263,bulldozer
264,hat
265,harp
266,violin
267,skyscraper
268,penguin
269,skyscraper
270,violin
271,violin
272,skyscraper
273,hat
274,skyscraper
275,keyboard
276,laptop
277,violin
278,nose
279,violin
280,hat
281,eyeglasses
282,skyscraper
283,nose
284,laptop
285,penguin
286,penguin
287,bulldozer
288,keyboard
289,bulldozer
290,bulldozer
291,bulldozer
292,trombone
293,violin
294,penguin
295,hand
296,trombone
297,harp
298,penguin
299,keyboard
300,violin
301,trombone
302,trombone
303,penguin
304,penguin
305,skyscraper
306,eyeglasses
307,penguin
308,laptop
309,hat
310,penguin
311,bulldozer
312,hat
313,penguin
314,eyeglasses
315,keyboard
316,skyscraper
317,nose
318,trombone
319,trombone
320,harp
321,skyscraper
322,pig
323,hat
324,skyscraper
325,trombone
326,nose
327,eyeglasses
328,violin
329,nose
330,hat
331,keyboard
332,harp
333,hat
334,eyeglasses
335,trombone
336,nose
337,hand
338,nose
339,skyscraper
340,trombone
341,keyboard
342,harp
343,banana
344,hat
345,hat
346,keyboard
347,nose
348,trombone
349,trombone
350,keyboard
351,nose
352,nose
353,nose
354,skyscraper
355,trombone
356,nose
357,trombone
358,penguin
359,trombone
360,skyscraper
361,penguin
362,hat
363,penguin
364,skyscraper
365,trombone
366,pig
367,eyeglasses
368,eyeglasses
369,hat
370,harp
371,violin
372,hand
373,harp
374,skyscraper
375,nose
376,nose
377,hat
378,nose
379,skyscraper
380,violin
381,nose
382,penguin
383,bulldozer
384,skyscraper
385,trombone
386,hat
387,hat
388,hand
389,hand
390,violin
391,violin
392,nose
393,pig
394,hand
395,hand
396,pig
397,pig
398,hat
399,laptop
400,laptop
401,trombone
402,hat
403,keyboard
404,harp
405,nose
406,bulldozer
407,nose
408,skyscraper
409,skyscraper
410,eyeglasses
411,bulldozer
412,penguin
413,bulldozer
414,hat
415,keyboard
416,eyeglasses
417,hat
418,harp
419,hat
420,trombone
421,nose
422,harp
423,bulldozer
424,laptop
425,harp
426,laptop
427,nose
428,eyeglasses
429,violin
430,hat
431,skyscraper
432,bulldozer
433,pig
434,laptop
435,bulldozer
436,eyeglasses
437,penguin
438,trombone
439,laptop
440,banana
441,keyboard
442,nose
443,bulldozer
444,bulldozer
445,trombone
446,bulldozer
447,hat
448,skyscraper
449,bulldozer
450,bulldozer
451,hat
452,laptop
453,pig
454,bulldozer
455,penguin
456,nose
457,laptop
458,pig
459,hat
460,skyscraper
461,nose
462,eyeglasses
463,hat
464,nose
465,nose
466,hand
467,nose
468,bulldozer
469,laptop
470,bulldozer
471,hat
472,harp
473,nose
474,laptop
475,hand
476,harp
477,nose
478,nose
479,foot
480,penguin
481,laptop
482,trombone
483,eyeglasses
484,eyeglasses
485,harp
486,keyboard
487,skyscraper
488,banana
489,laptop
490,nose
491,bulldozer
492,keyboard
493,bulldozer
494,violin
495,nose
496,bulldozer
497,trombone
498,bulldozer
499,hat
500,bulldozer
501,laptop
502,penguin
503,pig
504,hat
505,keyboard
506,pig
507,bulldozer
508,keyboard
509,hand
510,skyscraper
511,eyeglasses
512,harp
513,hand
514,penguin
515,hat
516,bulldozer
517,bulldozer
518,penguin
519,nose
520,bulldozer
521,hand
522,violin
523,hat
524,eyeglasses
525,skyscraper
526,eyeglasses
527,hat
528,hand
529,penguin
530,eyeglasses
531,eyeglasses
532,pig
533,hat
534,hat
535,laptop
536,violin
537,keyboard
538,bulldozer
539,keyboard
540,eyeglasses
541,bulldozer
542,laptop
543,laptop
544,hat
545,harp
546,trombone
547,laptop
548,skyscraper
549,trombone
550,skyscraper
551,bulldozer
552,hand
553,laptop
554,bulldozer
555,penguin
556,bulldozer
557,hat
558,harp
559,nose
560,eyeglasses
561,hat
562,hat
563,penguin
564,keyboard
565,skyscraper
566,skyscraper
567,harp
568,penguin
569,skyscraper
570,bulldozer
571,bulldozer
572,skyscraper
573,skyscraper
574,bulldozer
575,trombone
576,bulldozer
577,hand
578,penguin
579,bulldozer
580,hand
581,bulldozer
582,nose
583,nose
584,hat
585,pig
586,violin
587,laptop
588,laptop
589,penguin
590,violin
591,hat
592,violin
593,bulldozer
594,laptop
595,bulldozer
596,nose
597,skyscraper
598,bulldozer
599,nose
600,hand
601,keyboard
602,harp
603,penguin
604,nose
605,banana
606,bulldozer
607,laptop
608,trombone
609,laptop
610,keyboard
611,skyscraper
612,trombone
613,skyscraper
614,nose
615,laptop
616,skyscraper
617,nose
618,penguin
619,trombone
620,violin
621,skyscraper
622,eyeglasses
623,penguin
624,hat
625,harp
626,laptop
627,hand
628,hat
629,harp
630,violin
631,penguin
632,harp
633,hat
634,laptop
635,eyeglasses
636,trombone
637,bulldozer
638,bulldozer
639,hand
640,hat
641,penguin
642,penguin
643,laptop
644,hand
645,bulldozer
646,bulldozer
647,harp
648,hat
649,penguin
650,violin
651,hat
652,eyeglasses
653,hat
654,keyboard
655,eyeglasses
656,nose
657,eyeglasses
658,penguin
659,laptop
660,nose
661,harp
662,skyscraper
663,harp
664,harp
665,hat
666,hand
667,bulldozer
668,skyscraper
669,laptop
670,eyeglasses
671,eyeglasses
672,eyeglasses
673,laptop
674,keyboard
675,bulldozer
676,hand
677,hand
678,harp
679,harp
680,skyscraper
681,trombone
682,bulldozer
683,laptop
684,bulldozer
685,skyscraper
686,laptop
687,bulldozer
688,keyboard
689,trombone
690,trombone
691,hat
692,pig
693,hand
694,violin
695,penguin
696,harp
697,hat
698,hat
699,laptop
700,penguin
701,skyscraper
702,hat
703,hat
704,violin
705,trombone
706,bulldozer
707,eyeglasses
708,bulldozer
709,penguin
710,keyboard
711,harp
712,eyeglasses
713,harp
714,eyeglasses
715,pig
716,laptop
717,trombone
718,skyscraper
719,bulldozer
720,hat
721,penguin
722,laptop
723,nose
724,hat
725,nose
726,bulldozer
727,skyscraper
728,bulldozer
729,hand
730,bulldozer
731,laptop
732,pig
733,bulldozer
734,laptop
735,skyscraper
736,skyscraper
737,bulldozer
738,keyboard
739,bulldozer
740,hand
741,skyscraper
742,nose
743,bulldozer
744,nose
745,penguin
746,pig
747,nose
748,laptop
749,bulldozer
750,trombone
751,bulldozer
752,trombone
753,hat
754,hat
755,hat
756,penguin
757,trombone
758,harp
759,nose
760,bulldozer
761,harp
762,penguin
763,bulldozer
764,banana
765,skyscraper
766,laptop
767,bulldozer
768,hat
769,eyeglasses
770,hat
771,foot
772,skyscraper
773,skyscraper
774,trombone
775,bulldozer
776,hand
777,bulldozer
778,banana
779,harp
780,laptop
781,hat
782,nose
783,hat
784,harp
785,hat
786,trombone
787,laptop
788,penguin
789,hat
790,bulldozer
791,hat
792,violin
793,eyeglasses
794,nose
795,bulldozer
796,hat
797,trombone
798,violin
799,hat
800,skyscraper
801,harp
802,harp
803,foot
804,trombone
805,hat
806,pig
807,skyscraper
808,hat
809,eyeglasses
810,hand
811,nose
812,bulldozer
813,pig
814,skyscraper
815,harp
816,penguin
817,hand
818,banana
819,nose
820,banana
821,nose
822,harp
823,harp
824,nose
825,laptop
826,eyeglasses
827,skyscraper
828,pig
829,penguin
830,laptop
831,skyscraper
832,nose
833,nose
834,hat
835,bulldozer
836,trombone
837,laptop
838,bulldozer
839,hat
840,hand
841,harp
842,pig
843,nose
844,harp
845,eyeglasses
846,penguin
847,pig
848,harp
849,nose
850,pig
851,eyeglasses
852,banana
853,nose
854,trombone
855,skyscraper
856,hat
857,eyeglasses
858,pig
859,hat
860,skyscraper
861,nose
862,penguin
863,banana
864,keyboard
865,hat
866,hand
867,hand
868,bulldozer
869,bulldozer
870,hat
871,nose
872,hat
873,harp
874,laptop
875,hat
876,nose
877,hat
878,harp
879,violin
880,eyeglasses
881,nose
882,keyboard
883,eyeglasses
884,violin
885,bulldozer
886,skyscraper
887,trombone
888,keyboard
889,skyscraper
890,hat
891,eyeglasses
892,harp
893,hand
894,hat
895,nose
896,bulldozer
897,hat
898,skyscraper
899,nose
900,violin
901,harp
902,nose
903,harp
904,hat
905,banana
906,keyboard
907,hat
908,skyscraper
909,penguin
910,penguin
911,laptop
912,nose
913,nose
914,trombone
915,laptop
916,bulldozer
917,penguin
918,nose
919,penguin
920,hand
921,nose
922,eyeglasses
923,nose
924,penguin
925,bulldozer
926,bulldozer
927,eyeglasses
928,skyscraper
929,penguin
930,harp
931,nose
932,foot
933,hand
934,harp
935,skyscraper
936,trombone
937,hat
938,keyboard
939,harp
940,pig
941,bulldozer
942,violin
943,harp
944,hand
945,laptop
946,eyeglasses
947,harp
948,hand
949,penguin
950,penguin
951,skyscraper
952,bulldozer
953,trombone
954,bulldozer
955,harp
956,penguin
957,bulldozer
958,trombone
959,keyboard
960,nose
961,bulldozer
962,skyscraper
963,bulldozer
964,hand
965,hat
966,keyboard
967,trombone
968,penguin
969,hand
970,laptop
971,nose
972,violin
973,harp
974,laptop
975,harp
976,hand
977,harp
978,laptop
979,harp
980,keyboard
981,eyeglasses
982,penguin
983,laptop
984,penguin
985,bulldozer
986,nose
987,penguin
988,harp
989,laptop
990,harp
991,laptop
992,laptop
993,penguin
994,trombone
995,trombone
996,bulldozer
997,laptop
998,harp
999,bulldozer
1000,harp
1001,hat
1002,harp
1003,laptop
1004,penguin
1005,nose
1006,eyeglasses
1007,skyscraper
1008,laptop
1009,nose
1010,harp
1011,harp
1012,violin
1013,violin
1014,bulldozer
1015,laptop
1016,hand
1017,violin
1018,pig
1019,pig
1020,bulldozer
1021,laptop
1022,nose
1023,eyeglasses
1024,eyeglasses
1025,harp
1026,trombone
1027,skyscraper
1028,laptop
1029,nose
1030,hand
1031,laptop
1032,bulldozer
1033,skyscraper
1034,bulldozer
1035,trombone
1036,nose
1037,hand
1038,laptop
1039,harp
1040,nose
1041,hat
1042,bulldozer
1043,skyscraper
1044,laptop
1045,hand
1046,skyscraper
1047,banana
1048,trombone
1049,hand
1050,trombone
1051,skyscraper
1052,skyscraper
1053,harp
1054,laptop
1055,foot
1056,nose
1057,nose
1058,laptop
1059,eyeglasses
1060,trombone
1061,nose
1062,trombone
1063,bulldozer
1064,nose
1065,hat
1066,keyboard
1067,nose
1068,hat
1069,hat
1070,violin
1071,laptop
1072,penguin
1073,harp
1074,banana
1075,violin
1076,hat
1077,bulldozer
1078,laptop
1079,bulldozer
1080,hat
1081,hat
1082,penguin
1083,laptop
1084,harp
1085,bulldozer
1086,eyeglasses
1087,nose
1088,skyscraper
1089,keyboard
1090,penguin
1091,trombone
1092,keyboard
1093,penguin
1094,pig
1095,penguin
1096,keyboard
1097,hand
1098,violin
1099,laptop
1100,penguin
1101,harp
1102,violin
1103,laptop
1104,bulldozer
1105,laptop
1106,eyeglasses
1107,nose
1108,hat
1109,eyeglasses
1110,harp
1111,hand
1112,hat
1113,penguin
1114,skyscraper
1115,hat
1116,nose
1117,skyscraper
1118,violin
1119,skyscraper
1120,eyeglasses
1121,skyscraper
1122,nose
1123,skyscraper
1124,keyboard
1125,trombone
1126,hand
1127,laptop
1128,keyboard
1129,foot
1130,penguin
1131,penguin
1132,keyboard
1133,harp
1134,laptop
1135,bulldozer
1136,bulldozer
1137,harp
1138,keyboard
1139,hat
1140,bulldozer
1141,bulldozer
1142,bulldozer
1143,penguin
1144,skyscraper
1145,violin
1146,hat
1147,bulldozer
1148,violin
1149,nose
1150,bulldozer
1151,harp
1152,trombone
1153,hat
1154,violin
1155,pig
1156,penguin
1157,bulldozer
1158,eyeglasses
1159,laptop
1160,eyeglasses
1161,nose
1162,penguin
1163,bulldozer
1164,penguin
1165,laptop
1166,hat
1167,trombone
1168,nose
1169,bulldozer
1170,bulldozer
1171,penguin
1172,keyboard
1173,skyscraper
1174,nose
1175,bulldozer
1176,keyboard
1177,bulldozer
1178,laptop
1179,hat
1180,keyboard
1181,nose
1182,hand
1183,eyeglasses
1184,nose
1185,foot
1186,bulldozer
1187,harp
1188,penguin
1189,laptop
1190,nose
1191,bulldozer
1192,nose
1193,laptop
1194,hat
1195,bulldozer
1196,laptop
1197,skyscraper
1198,violin
1199,hand
1200,violin
1201,laptop
1202,pig
1203,skyscraper
1204,skyscraper
1205,pig
1206,eyeglasses
1207,skyscraper
1208,trombone
1209,eyeglasses
1210,bulldozer
1211,trombone
1212,harp
1213,bulldozer
1214,skyscraper
1215,banana
1216,penguin
1217,hat
1218,penguin
1219,bulldozer
1220,skyscraper
1221,harp
1222,keyboard
1223,trombone
1224,laptop
1225,nose
1226,hand
1227,eyeglasses
1228,penguin
1229,bulldozer
1230,laptop
1231,hat
1232,skyscraper
1233,hat
1234,violin
1235,skyscraper
1236,hand
1237,nose
1238,pig
1239,eyeglasses
1240,laptop
1241,trombone
1242,hand
1243,hat
